"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2019","314.50","325.50","325.50","313.50","0.97K","-2.18%"
"09/10/2019","321.50","332.50","333.00","321.50","2.71K","-3.16%"
"09/09/2019","332.00","325.00","332.00","321.00","5.05K","2.15%"
"09/06/2019","325.00","318.50","327.00","316.50","2.72K","1.88%"
"09/05/2019","319.00","306.00","319.00","306.00","1.58K","2.90%"
"09/04/2019","310.00","310.00","318.00","310.00","1.72K","0.00%"
"09/03/2019","310.00","308.00","310.00","306.00","1.60K","0.65%"
"09/02/2019","308.00","305.00","308.00","302.00","0.46K","0.98%"
"08/30/2019","305.00","300.00","305.00","298.50","2.26K","2.35%"
"08/29/2019","298.00","301.00","301.00","293.50","0.81K","-0.67%"
"08/28/2019","300.00","302.00","311.50","300.00","0.67K","-0.83%"
"08/27/2019","302.50","300.00","302.50","299.00","1.07K","0.83%"
"08/26/2019","300.00","301.00","301.00","298.00","0.58K","0.00%"
"08/23/2019","300.00","310.00","310.00","298.00","1.86K","-2.60%"
"08/22/2019","308.00","310.00","310.00","307.50","0.80K","0.33%"
"08/21/2019","307.00","307.00","316.50","306.50","3.08K","-5.83%"
"08/20/2019","326.00","327.00","329.00","320.00","2.84K","-0.15%"
"08/19/2019","326.50","328.00","328.00","323.00","2.02K","-0.31%"
"08/16/2019","327.50","322.00","329.00","320.00","1.11K","2.99%"
"08/14/2019","318.00","319.00","319.00","314.50","2.05K","0.95%"
"08/13/2019","315.00","315.50","324.00","314.50","5.81K","0.16%"
"08/12/2019","314.50","319.00","320.00","312.00","7.57K","-0.16%"
"08/09/2019","315.00","323.50","328.50","312.00","5.34K","-2.63%"
"08/08/2019","323.50","339.00","339.00","322.50","4.65K","-4.01%"
"08/07/2019","337.00","337.00","338.50","336.00","0.68K","0.60%"
"08/06/2019","335.00","336.00","339.00","333.00","0.49K","1.06%"
"08/05/2019","331.50","339.00","339.50","331.50","0.85K","-1.63%"
"08/02/2019","337.00","337.50","340.00","335.00","0.47K","-0.15%"
"08/01/2019","337.50","340.00","341.00","337.50","0.51K","-0.44%"
"07/31/2019","339.00","339.00","341.00","336.50","0.49K","2.11%"
"07/30/2019","332.00","340.00","341.50","332.00","0.95K","-1.78%"
"07/29/2019","338.00","340.00","342.50","338.00","0.67K","-0.29%"
"07/26/2019","339.00","336.00","339.00","333.00","1.06K","1.50%"
"07/25/2019","334.00","334.00","335.00","332.00","0.53K","1.21%"
"07/24/2019","330.00","331.00","332.00","330.00","3.04K","-0.30%"
"07/23/2019","331.00","330.00","332.00","330.00","3.20K","0.30%"
"07/22/2019","330.00","333.00","336.00","328.50","1.12K","0.15%"
"07/19/2019","329.50","329.00","331.00","326.00","0.34K","0.15%"
"07/18/2019","329.00","326.00","329.00","325.00","0.28K","1.08%"
"07/17/2019","325.50","332.50","332.50","325.00","0.35K","-1.21%"
"07/16/2019","329.50","325.00","329.50","324.00","0.73K","1.54%"
"07/15/2019","324.50","329.00","329.00","324.50","0.79K","-0.46%"
"07/12/2019","326.00","331.00","333.00","326.00","1.63K","-0.31%"
"07/11/2019","327.00","327.50","332.00","326.00","2.18K","1.08%"
"07/10/2019","323.50","322.00","327.00","322.00","0.92K","0.78%"
"07/09/2019","321.00","329.00","329.00","318.00","4.64K","-1.38%"
"07/08/2019","325.50","332.50","335.00","325.50","1.06K","-1.96%"
"07/05/2019","332.00","337.50","338.00","332.00","2.54K","-1.48%"
"07/04/2019","337.00","336.50","338.00","335.00","0.30K","0.90%"
"07/03/2019","334.00","339.50","339.50","334.00","0.46K","-0.89%"
"07/02/2019","337.00","341.50","341.50","335.00","0.53K","-1.17%"
"07/01/2019","341.00","336.50","341.50","336.50","0.30K","0.89%"
"06/28/2019","338.00","338.50","340.00","338.00","0.40K","-0.15%"
"06/27/2019","338.50","332.00","339.00","332.00","0.58K","1.65%"
"06/26/2019","333.00","329.00","336.00","326.00","3.36K","1.83%"
"06/25/2019","327.00","327.50","328.50","324.50","2.48K","-0.15%"
"06/24/2019","327.50","329.50","329.50","322.00","2.02K","0.46%"
